point_id,title,file,question_count,sources
AP-001,设置固定用户代理,题目.md;答案.md,3,SRC-010
AP-002,设置下载延迟,题目.md;答案.md,3,SRC-010
AP-003,禁用 Cookies,题目.md;答案.md,3,SRC-010
AP-004,自动限速扩展,题目.md;答案.md,3,SRC-010
AP-005,设置随机用户代理,题目.md;答案.md,3,SRC-010
AP-006,设置随机 IP 代理,题目.md;答案.md,3,SRC-010
AP-007,Robots 协议,题目.md;答案.md,3,SRC-018
AP-008,CSV 的定义,题目.md;答案.md,3,SRC-018
AP-009,urllib 库,题目.md;答案.md,3,SRC-030
AP-010,requests 库,题目.md;答案.md,3,SRC-015
AP-011,HTTP 请求过程,题目.md;答案.md,3,SRC-027
AP-012,响应头 Allow 字段,题目.md;答案.md,3,SRC-027
AP-013,响应头 Content-Type 字段,题目.md;答案.md,3,SRC-027
AP-014,响应头 Date 字段,题目.md;答案.md,3,SRC-027
AP-015,响应头 Location 字段,题目.md;答案.md,3,SRC-027
AP-016,响应头 Refresh 字段,题目.md;答案.md,3,SRC-027
AP-017,响应头 Server 字段,题目.md;答案.md,3,SRC-027
AP-018,响应头 Set-Cookie 字段,题目.md;答案.md,3,SRC-027
AP-019,爬虫的基本步骤,题目.md;答案.md,3,SRC-025
AP-020,Scrapy 框架的定义与作用,题目.md;答案.md,3,SRC-007
AP-021,Scrapy 体系架构,题目.md;答案.md,3,SRC-025
AP-022,动态网页的概念,题目.md;答案.md,3,SRC-029
AP-023,静态网页的概念,题目.md;答案.md,3,SRC-029
AP-024,Selenium 的作用,题目.md;答案.md,3,SRC-029
AP-025,动态网页逆向分析法,题目.md;答案.md,3,SRC-029
AP-026,动态网页模拟法,题目.md;答案.md,3,SRC-029
AP-027,Series 的用法,题目.md;答案.md,3,SRC-011
AP-028,DataFrame 的用法,题目.md;答案.md,3,SRC-011
AP-029,merge 函数的功能,题目.md;答案.md,3,SRC-011
AP-030,apply 函数的功能,题目.md;答案.md,3,SRC-031
AP-031,map 函数的功能,题目.md;答案.md,3,SRC-032
AP-032,数据清洗的概念,题目.md;答案.md,3,SRC-026
AP-033,数据清洗的过程,题目.md;答案.md,3,SRC-026
AP-034,数据清洗的主要任务,题目.md;答案.md,3,SRC-012
AP-035,数据清洗阶段,题目.md;答案.md,3,SRC-033
AP-036,数据集成阶段,题目.md;答案.md,3,SRC-033
AP-037,数据归约阶段,题目.md;答案.md,3,SRC-033
AP-038,数据变换阶段,题目.md;答案.md,3,SRC-033
AP-039,数据预处理的核心目标,题目.md;答案.md,3,SRC-033
AP-040,数据预处理的总体过程,题目.md;答案.md,3,SRC-033
AP-041,通用网络爬虫及适用场景,题目.md;答案.md,3,SRC-027
AP-042,聚焦网络爬虫及适用场景,题目.md;答案.md,3,SRC-027
AP-043,增量式网络爬虫及适用场景,题目.md;答案.md,3,SRC-027
AP-044,深层网络爬虫及适用场景,题目.md;答案.md,3,SRC-027
AP-045,强制等待,题目.md;答案.md,3,SRC-024
AP-046,隐式等待,题目.md;答案.md,3,SRC-024
AP-047,显式等待,题目.md;答案.md,3,SRC-024
AP-048,MySQL 增删改查通用函数封装过程,题目.md;答案.md,3,SRC-019
AP-049,PyMySQL 使用步骤,题目.md;答案.md,3,SRC-019
AP-050,关闭游标释放资源,题目.md;答案.md,3,SRC-019
AP-051,关闭数据库连接释放资源,题目.md;答案.md,3,SRC-019
AP-052,requests 库发送 GET 请求的通用代码,题目.md;答案.md,3,SRC-015
